,city,county,city_unic,county_unic,link
110,Bábolna,Komárom-Esztergom,babolna,komarom-esztergom-megye,https://ingatlan.com/lista/babolna
111,Bábonymegyer,Somogy,babonymegyer,somogy-megye,https://ingatlan.com/lista/babonymegyer
112,Babosdöbréte,Zala,babosdobrete,zala-megye,https://ingatlan.com/lista/babosdobrete
113,Babót,Győr-Moson-Sopron,babot,gyor-moson-sopron-megye,https://ingatlan.com/lista/babot
114,Bácsalmás,Bács-Kiskun,bacsalmas,bacs-kiskun-megye,https://ingatlan.com/lista/bacsalmas
115,Bácsbokod,Bács-Kiskun,bacsbokod,bacs-kiskun-megye,https://ingatlan.com/lista/bacsbokod
116,Bácsborsód,Bács-Kiskun,bacsborsod,bacs-kiskun-megye,https://ingatlan.com/lista/bacsborsod
117,Bácsszentgyörgy,Bács-Kiskun,bacsszentgyorgy,bacs-kiskun-megye,https://ingatlan.com/lista/bacsszentgyorgy
118,Bácsszőlős,Bács-Kiskun,bacsszolos,bacs-kiskun-megye,https://ingatlan.com/lista/bacsszolos
119,Badacsonytomaj,Veszprém,badacsonytomaj,veszprem-megye,https://ingatlan.com/lista/badacsonytomaj
120,Badacsonytördemic,Veszprém,badacsonytordemic,veszprem-megye,https://ingatlan.com/lista/badacsonytordemic
121,Bag,Pest,bag,pest-megye,https://ingatlan.com/lista/bag
122,Bagamér,Hajdú-Bihar,bagamer,hajdu-bihar-megye,https://ingatlan.com/lista/bagamer
123,Baglad,Zala,baglad,zala-megye,https://ingatlan.com/lista/baglad
124,Bagod,Zala,bagod,zala-megye,https://ingatlan.com/lista/bagod
125,Bágyogszovát,Győr-Moson-Sopron,bagyogszovat,gyor-moson-sopron-megye,https://ingatlan.com/lista/bagyogszovat
126,Baj,Komárom-Esztergom,baj,komarom-esztergom-megye,https://ingatlan.com/lista/baj
127,Baja,Bács-Kiskun,baja,bacs-kiskun-megye,https://ingatlan.com/lista/baja
128,Bajánsenye,Vas,bajansenye,vas-megye,https://ingatlan.com/lista/bajansenye
129,Bajna,Komárom-Esztergom,bajna,komarom-esztergom-megye,https://ingatlan.com/lista/bajna
130,Bajót,Komárom-Esztergom,bajot,komarom-esztergom-megye,https://ingatlan.com/lista/bajot
131,Bak,Zala,bak,zala-megye,https://ingatlan.com/lista/bak
132,Bakháza,Somogy,bakhaza,somogy-megye,https://ingatlan.com/lista/bakhaza
133,Bakóca,Baranya,bakoca,baranya-megye,https://ingatlan.com/lista/bakoca
134,Bakonszeg,Hajdú-Bihar,bakonszeg,hajdu-bihar-megye,https://ingatlan.com/lista/bakonszeg
135,Bakonya,Baranya,bakonya,baranya-megye,https://ingatlan.com/lista/bakonya
136,Bakonybánk,Komárom-Esztergom,bakonybank,komarom-esztergom-megye,https://ingatlan.com/lista/bakonybank
137,Bakonybél,Veszprém,bakonybel,veszprem-megye,https://ingatlan.com/lista/bakonybel
138,Bakonycsernye,Fejér,bakonycsernye,fejer-megye,https://ingatlan.com/lista/bakonycsernye
139,Bakonygyirót,Győr-Moson-Sopron,bakonygyirot,gyor-moson-sopron-megye,https://ingatlan.com/lista/bakonygyirot
140,Bakonyjákó,Veszprém,bakonyjako,veszprem-megye,https://ingatlan.com/lista/bakonyjako
141,Bakonykoppány,Veszprém,bakonykoppany,veszprem-megye,https://ingatlan.com/lista/bakonykoppany
142,Bakonykúti,Fejér,bakonykuti,fejer-megye,https://ingatlan.com/lista/bakonykuti
143,Bakonynána,Veszprém,bakonynana,veszprem-megye,https://ingatlan.com/lista/bakonynana
144,Bakonyoszlop,Veszprém,bakonyoszlop,veszprem-megye,https://ingatlan.com/lista/bakonyoszlop
145,Bakonypéterd,Győr-Moson-Sopron,bakonypeterd,gyor-moson-sopron-megye,https://ingatlan.com/lista/bakonypeterd
146,Bakonypölöske,Veszprém,bakonypoloske,veszprem-megye,https://ingatlan.com/lista/bakonypoloske
147,Bakonyság,Veszprém,bakonysag,veszprem-megye,https://ingatlan.com/lista/bakonysag
148,Bakonysárkány,Komárom-Esztergom,bakonysarkany,komarom-esztergom-megye,https://ingatlan.com/lista/bakonysarkany
149,Bakonyszentiván,Veszprém,bakonyszentivan,veszprem-megye,https://ingatlan.com/lista/bakonyszentivan
150,Bakonyszentkirály,Veszprém,bakonyszentkiraly,veszprem-megye,https://ingatlan.com/lista/bakonyszentkiraly
151,Bakonyszentlászló,Győr-Moson-Sopron,bakonyszentlaszlo,gyor-moson-sopron-megye,https://ingatlan.com/lista/bakonyszentlaszlo
152,Bakonyszombathely,Komárom-Esztergom,bakonyszombathely,komarom-esztergom-megye,https://ingatlan.com/lista/bakonyszombathely
153,Bakonyszücs,Veszprém,bakonyszucs,veszprem-megye,https://ingatlan.com/lista/bakonyszucs
154,Bakonytamási,Veszprém,bakonytamasi,veszprem-megye,https://ingatlan.com/lista/bakonytamasi
155,Baks,Csongrád,baks,csongrad-megye,https://ingatlan.com/lista/baks
156,Baksa,Baranya,baksa,baranya-megye,https://ingatlan.com/lista/baksa
157,Baktakék,Borsod-Abaúj-Zemplén,baktakek,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/baktakek
158,Baktalórántháza,Szabolcs-Szatmár-Bereg,baktaloranthaza,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/baktaloranthaza
159,Baktüttös,Zala,baktuttos,zala-megye,https://ingatlan.com/lista/baktuttos
160,Balajt,Borsod-Abaúj-Zemplén,balajt,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/balajt
161,Balassagyarmat,Nógrád,balassagyarmat,nograd-megye,https://ingatlan.com/lista/balassagyarmat
162,Balástya,Csongrád,balastya,csongrad-megye,https://ingatlan.com/lista/balastya
163,Balaton,Heves,balaton,heves-megye,https://ingatlan.com/lista/balaton
164,Balatonakali,Veszprém,balatonakali,veszprem-megye,https://ingatlan.com/lista/balatonakali
165,Balatonakarattya,Veszprém,balatonakarattya,veszprem-megye,https://ingatlan.com/lista/balatonakarattya
166,Balatonalmádi,Veszprém,balatonalmadi,veszprem-megye,https://ingatlan.com/lista/balatonalmadi
167,Balatonberény,Somogy,balatonbereny,somogy-megye,https://ingatlan.com/lista/balatonbereny
168,Balatonboglár,Somogy,balatonboglar,somogy-megye,https://ingatlan.com/lista/balatonboglar
169,Balatoncsicsó,Veszprém,balatoncsicso,veszprem-megye,https://ingatlan.com/lista/balatoncsicso
170,Balatonederics,Veszprém,balatonederics,veszprem-megye,https://ingatlan.com/lista/balatonederics
171,Balatonendréd,Somogy,balatonendred,somogy-megye,https://ingatlan.com/lista/balatonendred
172,Balatonfenyves,Somogy,balatonfenyves,somogy-megye,https://ingatlan.com/lista/balatonfenyves
173,Balatonfőkajár,Veszprém,balatonfokajar,veszprem-megye,https://ingatlan.com/lista/balatonfokajar
174,Balatonföldvár,Somogy,balatonfoldvar,somogy-megye,https://ingatlan.com/lista/balatonfoldvar
175,Balatonfüred,Veszprém,balatonfured,veszprem-megye,https://ingatlan.com/lista/balatonfured
176,Balatonfűzfő,Veszprém,balatonfuzfo,veszprem-megye,https://ingatlan.com/lista/balatonfuzfo
177,Balatongyörök,Zala,balatongyorok,zala-megye,https://ingatlan.com/lista/balatongyorok
178,Balatonhenye,Veszprém,balatonhenye,veszprem-megye,https://ingatlan.com/lista/balatonhenye
179,Balatonkenese,Veszprém,balatonkenese,veszprem-megye,https://ingatlan.com/lista/balatonkenese
180,Balatonkeresztúr,Somogy,balatonkeresztur,somogy-megye,https://ingatlan.com/lista/balatonkeresztur
181,Balatonlelle,Somogy,balatonlelle,somogy-megye,https://ingatlan.com/lista/balatonlelle
182,Balatonmagyaród,Zala,balatonmagyarod,zala-megye,https://ingatlan.com/lista/balatonmagyarod
183,Balatonmáriafürdő,Somogy,balatonmariafurdo,somogy-megye,https://ingatlan.com/lista/balatonmariafurdo
184,Balatonőszöd,Somogy,balatonoszod,somogy-megye,https://ingatlan.com/lista/balatonoszod
185,Balatonrendes,Veszprém,balatonrendes,veszprem-megye,https://ingatlan.com/lista/balatonrendes
186,Balatonszabadi,Somogy,balatonszabadi,somogy-megye,https://ingatlan.com/lista/balatonszabadi
187,Balatonszárszó,Somogy,balatonszarszo,somogy-megye,https://ingatlan.com/lista/balatonszarszo
188,Balatonszemes,Somogy,balatonszemes,somogy-megye,https://ingatlan.com/lista/balatonszemes
189,Balatonszentgyörgy,Somogy,balatonszentgyorgy,somogy-megye,https://ingatlan.com/lista/balatonszentgyorgy
190,Balatonszepezd,Veszprém,balatonszepezd,veszprem-megye,https://ingatlan.com/lista/balatonszepezd
191,Balatonszőlős,Veszprém,balatonszolos,veszprem-megye,https://ingatlan.com/lista/balatonszolos
192,Balatonudvari,Veszprém,balatonudvari,veszprem-megye,https://ingatlan.com/lista/balatonudvari
193,Balatonújlak,Somogy,balatonujlak,somogy-megye,https://ingatlan.com/lista/balatonujlak
194,Balatonvilágos,Somogy,balatonvilagos,somogy-megye,https://ingatlan.com/lista/balatonvilagos
195,Balinka,Fejér,balinka,fejer-megye,https://ingatlan.com/lista/balinka
196,Balkány,Szabolcs-Szatmár-Bereg,balkany,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/balkany
197,Ballószög,Bács-Kiskun,balloszog,bacs-kiskun-megye,https://ingatlan.com/lista/balloszog
198,Balmazújváros,Hajdú-Bihar,balmazujvaros,hajdu-bihar-megye,https://ingatlan.com/lista/balmazujvaros
199,Balogunyom,Vas,balogunyom,vas-megye,https://ingatlan.com/lista/balogunyom
200,Balotaszállás,Bács-Kiskun,balotaszallas,bacs-kiskun-megye,https://ingatlan.com/lista/balotaszallas
201,Balsa,Szabolcs-Szatmár-Bereg,balsa,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/balsa
202,Bálványos,Somogy,balvanyos,somogy-megye,https://ingatlan.com/lista/balvanyos
203,Bana,Komárom-Esztergom,bana,komarom-esztergom-megye,https://ingatlan.com/lista/bana
204,Bánd,Veszprém,band,veszprem-megye,https://ingatlan.com/lista/band
205,Bánfa,Baranya,banfa,baranya-megye,https://ingatlan.com/lista/banfa
206,Bánhorváti,Borsod-Abaúj-Zemplén,banhorvati,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/banhorvati
207,Bánk,Nógrád,bank,nograd-megye,https://ingatlan.com/lista/bank
208,Bánokszentgyörgy,Zala,banokszentgyorgy,zala-megye,https://ingatlan.com/lista/banokszentgyorgy
209,Bánréve,Borsod-Abaúj-Zemplén,banreve,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/banreve
210,Bár,Baranya,bar,baranya-megye,https://ingatlan.com/lista/bar
211,Barabás,Szabolcs-Szatmár-Bereg,barabas,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/barabas
212,Baracs,Fejér,baracs,fejer-megye,https://ingatlan.com/lista/baracs
213,Baracska,Fejér,baracska,fejer-megye,https://ingatlan.com/lista/baracska
214,Báránd,Hajdú-Bihar,barand,hajdu-bihar-megye,https://ingatlan.com/lista/barand
215,Baranyahídvég,Baranya,baranyahidveg,baranya-megye,https://ingatlan.com/lista/baranyahidveg
216,Baranyajenő,Baranya,baranyajeno,baranya-megye,https://ingatlan.com/lista/baranyajeno
217,Baranyaszentgyörgy,Baranya,baranyaszentgyorgy,baranya-megye,https://ingatlan.com/lista/baranyaszentgyorgy
218,Barbacs,Győr-Moson-Sopron,barbacs,gyor-moson-sopron-megye,https://ingatlan.com/lista/barbacs
219,Barcs,Somogy,barcs,somogy-megye,https://ingatlan.com/lista/barcs
220,Bárdudvarnok,Somogy,bardudvarnok,somogy-megye,https://ingatlan.com/lista/bardudvarnok
221,Barlahida,Zala,barlahida,zala-megye,https://ingatlan.com/lista/barlahida
222,Bárna,Nógrád,barna,nograd-megye,https://ingatlan.com/lista/barna
223,Barnag,Veszprém,barnag,veszprem-megye,https://ingatlan.com/lista/barnag
224,Bársonyos,Komárom-Esztergom,barsonyos,komarom-esztergom-megye,https://ingatlan.com/lista/barsonyos
225,Basal,Baranya,basal,baranya-megye,https://ingatlan.com/lista/basal
226,Baskó,Borsod-Abaúj-Zemplén,basko,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/basko
227,Báta,Tolna,bata,tolna-megye,https://ingatlan.com/lista/bata
228,Bátaapáti,Tolna,bataapati,tolna-megye,https://ingatlan.com/lista/bataapati
229,Bátaszék,Tolna,bataszek,tolna-megye,https://ingatlan.com/lista/bataszek
230,Baté,Somogy,bate,somogy-megye,https://ingatlan.com/lista/bate
231,Bátmonostor,Bács-Kiskun,batmonostor,bacs-kiskun-megye,https://ingatlan.com/lista/batmonostor
232,Bátonyterenye,Nógrád,batonyterenye,nograd-megye,https://ingatlan.com/lista/batonyterenye
233,Bátor,Heves,bator,heves-megye,https://ingatlan.com/lista/bator
234,Bátorliget,Szabolcs-Szatmár-Bereg,batorliget,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/batorliget
235,Battonya,Békés,battonya,bekes-megye,https://ingatlan.com/lista/battonya
236,Bátya,Bács-Kiskun,batya,bacs-kiskun-megye,https://ingatlan.com/lista/batya
237,Batyk,Zala,batyk,zala-megye,https://ingatlan.com/lista/batyk
238,Bázakerettye,Zala,bazakerettye,zala-megye,https://ingatlan.com/lista/bazakerettye
239,Bazsi,Veszprém,bazsi,veszprem-megye,https://ingatlan.com/lista/bazsi
240,Béb,Veszprém,beb,veszprem-megye,https://ingatlan.com/lista/beb
241,Becsehely,Zala,becsehely,zala-megye,https://ingatlan.com/lista/becsehely
242,Becske,Nógrád,becske,nograd-megye,https://ingatlan.com/lista/becske
243,Becskeháza,Borsod-Abaúj-Zemplén,becskehaza,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/becskehaza
244,Becsvölgye,Zala,becsvolgye,zala-megye,https://ingatlan.com/lista/becsvolgye
245,Bedegkér,Somogy,bedegker,somogy-megye,https://ingatlan.com/lista/bedegker
246,Bedő,Hajdú-Bihar,bedo,hajdu-bihar-megye,https://ingatlan.com/lista/bedo
247,Bejcgyertyános,Vas,bejcgyertyanos,vas-megye,https://ingatlan.com/lista/bejcgyertyanos
248,Békás,Veszprém,bekas,veszprem-megye,https://ingatlan.com/lista/bekas
249,Bekecs,Borsod-Abaúj-Zemplén,bekecs,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/bekecs
250,Békés,Békés,bekes,bekes-megye,https://ingatlan.com/lista/bekes
251,Békéscsaba,Békés,bekescsaba,bekes-megye,https://ingatlan.com/lista/bekescsaba
252,Békéssámson,Békés,bekessamson,bekes-megye,https://ingatlan.com/lista/bekessamson
253,Békésszentandrás,Békés,bekesszentandras,bekes-megye,https://ingatlan.com/lista/bekesszentandras
254,Bekölce,Heves,bekolce,heves-megye,https://ingatlan.com/lista/bekolce
255,Bélapátfalva,Heves,belapatfalva,heves-megye,https://ingatlan.com/lista/belapatfalva
256,Bélavár,Somogy,belavar,somogy-megye,https://ingatlan.com/lista/belavar
257,Belecska,Tolna,belecska,tolna-megye,https://ingatlan.com/lista/belecska
258,Beled,Győr-Moson-Sopron,beled,gyor-moson-sopron-megye,https://ingatlan.com/lista/beled
259,Beleg,Somogy,beleg,somogy-megye,https://ingatlan.com/lista/beleg
260,Belezna,Zala,belezna,zala-megye,https://ingatlan.com/lista/belezna
261,Bélmegyer,Békés,belmegyer,bekes-megye,https://ingatlan.com/lista/belmegyer
262,Beloiannisz,Fejér,beloiannisz,fejer-megye,https://ingatlan.com/lista/beloiannisz
263,Belsősárd,Zala,belsosard,zala-megye,https://ingatlan.com/lista/belsosard
264,Belvárdgyula,Baranya,belvardgyula,baranya-megye,https://ingatlan.com/lista/belvardgyula
265,Benk,Szabolcs-Szatmár-Bereg,benk,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/benk
266,Bénye,Pest,benye,pest-megye,https://ingatlan.com/lista/benye
267,Bér,Nógrád,ber,nograd-megye,https://ingatlan.com/lista/ber
268,Bérbaltavár,Vas,berbaltavar,vas-megye,https://ingatlan.com/lista/berbaltavar
269,Bercel,Nógrád,bercel,nograd-megye,https://ingatlan.com/lista/bercel
270,Beregdaróc,Szabolcs-Szatmár-Bereg,beregdaroc,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/beregdaroc
271,Beregsurány,Szabolcs-Szatmár-Bereg,beregsurany,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/beregsurany
272,Berekböszörmény,Hajdú-Bihar,berekboszormeny,hajdu-bihar-megye,https://ingatlan.com/lista/berekboszormeny
